7095  13:10:51.635823 execve("/tmp/malware_uploads/ping8", ["/tmp/malware_uploads/ping8"], ["LANG=C.UTF-8", "PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/snap/bin", "SGX_AESM_ADDR=1", "USER=root", "LOGNAME=root", "HOME=/root", "SHELL=/usr/bin/bash", "INVOCATION_ID=98dc5084e6314114bedd8eb736666664", "JOURNAL_STREAM=9:24991", "SYSTEMD_EXEC_PID=7063", "MEMORY_PRESSURE_WATCH=/sys/fs/cgroup/system.slice/malware-agent.service/memory.pressure", "MEMORY_PRESSURE_WRITE=c29tZSAyMDAwMDAgMjAwMDAwMAA=", "WERKZEUG_SERVER_FD=3"]) = 0
7095  13:10:51.646882 arch_prctl(ARCH_SET_FS, 0x405698) = 0
7095  13:10:51.646914 set_tid_address(0x4057d0) = 7095
7095  13:10:51.646939 ioctl(1, TIOCGWINSZ, 0x7fffecb4e8b8) = -1 ENOTTY (Inappropriate ioctl for device)
7095  13:10:51.646966 writev(1, [{iov_base="Pinging 8.8.8.8 every 1 second. Press Ctrl+C to stop.", iov_len=53}, {iov_base="\n", iov_len=1}], 2) = 54
7095  13:10:51.647299 rt_sigaction(SIGINT, {sa_handler=SIG_IGN, sa_mask=[], sa_flags=SA_RESTORER, sa_restorer=0x4018b3}, {sa_handler=SIG_DFL, sa_mask=[], sa_flags=0}, 8) = 0
7095  13:10:51.647341 rt_sigaction(SIGQUIT, {sa_handler=SIG_IGN, sa_mask=[], sa_flags=SA_RESTORER, sa_restorer=0x4018b3}, {sa_handler=SIG_DFL, sa_mask=[], sa_flags=0}, 8) = 0
7095  13:10:51.647367 rt_sigprocmask(SIG_BLOCK, [CHLD], [], 8) = 0
7095  13:10:51.647398 rt_sigprocmask(SIG_BLOCK, ~[], [CHLD], 8) = 0
7095  13:10:51.647423 pipe2([3, 4], O_CLOEXEC) = 0
7095  13:10:51.647453 clone(child_stack=0x7fffecb4e428, flags=CLONE_VM|CLONE_VFORK|SIGCHLD <unfinished ...>
7096  13:10:51.647580 close(3)          = 0
7096  13:10:51.647604 rt_sigaction(SIGINT, {sa_handler=SIG_DFL, sa_mask=[], sa_flags=SA_RESTORER, sa_restorer=0x4018b3}, NULL, 8) = 0
7096  13:10:51.647630 rt_sigaction(SIGQUIT, {sa_handler=SIG_DFL, sa_mask=[], sa_flags=SA_RESTORER, sa_restorer=0x4018b3}, NULL, 8) = 0
7096  13:10:51.647653 fcntl(4, F_SETFD, FD_CLOEXEC) = 0
7096  13:10:51.647675 rt_sigprocmask(SIG_SETMASK, [], NULL, 8) = 0
7096  13:10:51.647698 execve("/bin/sh", ["sh", "-c", "ping -c 1 8.8.8.8"], ["LANG=C.UTF-8", "PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/snap/bin", "SGX_AESM_ADDR=1", "USER=root", "LOGNAME=root", "HOME=/root", "SHELL=/usr/bin/bash", "INVOCATION_ID=98dc5084e6314114bedd8eb736666664", "JOURNAL_STREAM=9:24991", "SYSTEMD_EXEC_PID=7063", "MEMORY_PRESSURE_WATCH=/sys/fs/cgroup/system.slice/malware-agent.service/memory.pressure", "MEMORY_PRESSURE_WRITE=c29tZSAyMDAwMDAgMjAwMDAwMAA=", "WERKZEUG_SERVER_FD=3"] <unfinished ...>
7095  13:10:51.647980 <... clone resumed>) = 7096
7095  13:10:51.648001 close(4)          = 0
7095  13:10:51.648025 read(3, "", 4)    = 0
7095  13:10:51.648048 close(3)          = 0
7095  13:10:51.648073 rt_sigprocmask(SIG_SETMASK, [CHLD], NULL, 8) = 0
7095  13:10:51.648101 wait4(7096,  <unfinished ...>
7096  13:10:51.648118 <... execve resumed>) = 0
7096  13:10:51.648151 brk(NULL)         = 0x5a59ae9f5000
7096  13:10:51.648241 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x71eb91ee3000
7096  13:10:51.648332 access("/etc/ld.so.preload", R_OK) = -1 ENOENT (No such file or directory)
7096  13:10:51.648371 openat(AT_FDCWD, "/etc/ld.so.cache", O_RDONLY|O_CLOEXEC) = 3
7096  13:10:51.648403 fstat(3, {st_dev=makedev(0x8, 0x1), st_ino=25712, st_mode=S_IFREG|0644, st_nlink=1, st_uid=0, st_gid=0, st_blksize=4096, st_blocks=56, st_size=24943, st_atime=1772369694 /* 2026-03-01T12:54:54.323466051+0000 */, st_atime_nsec=323466051, st_mtime=1772369694 /* 2026-03-01T12:54:54.252465210+0000 */, st_mtime_nsec=252465210, st_ctime=1772369694 /* 2026-03-01T12:54:54.260465304+0000 */, st_ctime_nsec=260465304}) = 0
7096  13:10:51.652921 mmap(NULL, 24943, PROT_READ, MAP_PRIVATE, 3, 0) = 0x71eb91edc000
7096  13:10:51.652953 close(3)          = 0
7096  13:10:51.652981 openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libc.so.6", O_RDONLY|O_CLOEXEC) = 3
